ordem_analise,data_entrada,expediente_numero,codigo_assunto,descricao_assunto,data_atualizacao,processo_texto,expediente_texto,cnpj_numero,razao_social,assunto_numero,assunto_texto,situacao,dias_analise,ordem_analise_anterior,data_entrada_anterior,data_atualizacao_anterior,diff_ordem,diff_ordem2
11,2024-11-07T20:11:50Z,1538355248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.867480/2020-94,1538355/24-8,06019570000100,ICU MEDICAL DO BRASIL PRODUTOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69,NA,NA,NA,NA,Novo
12,2024-11-07T21:30:13Z,1538717247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.595107/2009-52,1538717/24-7,02966317000102,STRYKER DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69,86,2024-11-07T21:30:13Z,2025-01-06T12:07:30Z,74,Aguardando análise
13,2024-11-07T21:38:15Z,1538732246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.777255/2023-18,1538732/24-6,02966317000102,STRYKER DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69,87,2024-11-07T21:38:15Z,2025-01-06T12:07:30Z,74,Aguardando análise
14,2024-11-08T11:03:48Z,1539829243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.752443/2014-81,1539829/24-3,07231123000182,"BODY MEDIC COMÉRCIO DE PRODUTOS PARA VESTUÁRIO, ESTÉTICA, PÓS-CIRURGICO, IMPORTAÇÃO E EXPORTAÇÃO LTDA - ME",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69,88,2024-11-08T11:03:48Z,2025-01-06T12:07:30Z,74,Aguardando análise
15,2024-11-08T11:50:45Z,1540060241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.597622/2018-26,1540060/24-1,13200579000188,"MERIT MEDICAL COMERCIALIZAÇÃO, DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69,89,2024-11-08T11:50:45Z,2025-01-06T12:07:30Z,74,Aguardando análise
16,2024-11-08T12:35:37Z,1540264246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.855161/2016-43,1540264/24-6,93896397001447,MERCUR S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,90,2024-11-08T12:35:37Z,2025-01-06T12:07:30Z,74,Aguardando análise
17,2024-11-08T13:04:34Z,1541746244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.165872/2002-33,1541746/24-4,02966317000102,STRYKER DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,91,2024-11-08T13:04:34Z,2025-01-06T12:07:30Z,74,Aguardando análise
18,2024-11-08T13:12:41Z,1541800249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.415961/2018-01,1541800/24-9,60588803000130,RICHTER LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,92,2024-11-08T13:12:41Z,2025-01-06T12:07:30Z,74,Aguardando análise
19,2024-11-08T13:33:45Z,1541904249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.351014/2006-33,1541904/24-9,33100082000103,E TAMUSSINO E CIA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,93,2024-11-08T13:33:45Z,2025-01-06T12:07:30Z,74,Aguardando análise
20,2024-11-08T13:34:46Z,1541932242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.490522/2019-51,1541932/24-2,08198611000106,ETHNOS INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTOPÉDICOS LTDA - EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,94,2024-11-08T13:34:46Z,2025-01-06T12:07:30Z,74,Aguardando análise
21,2024-11-08T13:35:18Z,1541935241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.060721/2004-51,1541935/24-1,02966317000102,STRYKER DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,95,2024-11-08T13:35:18Z,2025-01-06T12:07:30Z,74,Aguardando análise
22,2024-11-08T13:54:44Z,1542091241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.404766/2024-96,1542091/24-1,22575103000112,"6B INVENT GERMANY INOX CE - BRASIL, IMPORTAÇÃO E EXPORTAÇÃO - LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,96,2024-11-08T13:54:44Z,2025-01-06T12:07:30Z,74,Aguardando análise
23,2024-11-08T17:47:00Z,1543138241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.199451/2011-24,1543138/24-1,03840189000119,RS MED LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,97,2024-11-08T17:47:00Z,2025-01-06T12:07:30Z,74,Aguardando análise
24,2024-11-08T17:57:05Z,1543260241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.040011/2020-25,1543260/24-1,03840189000119,RS MED LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,98,2024-11-08T17:57:05Z,2025-01-06T12:07:30Z,74,Aguardando análise
25,2024-11-08T18:22:30Z,1543488242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.713373/2018-22,1543488/24-2,60588803000130,RICHTER LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,99,2024-11-08T18:22:30Z,2025-01-06T12:07:30Z,74,Aguardando análise
26,2024-11-08T19:45:16Z,1544484241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.880916/2023-83,1544484/24-1,12333284000117,KURARAY SOUTH AMERICA LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,100,2024-11-08T19:45:16Z,2025-01-06T12:07:30Z,74,Aguardando análise
27,2024-11-08T19:52:59Z,1544559241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.938516/2021-11,1544559/24-1,12333284000117,KURARAY SOUTH AMERICA LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,101,2024-11-08T19:52:59Z,2025-01-06T12:07:30Z,74,Aguardando análise
28,2024-11-08T20:34:32Z,1544890249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25000.021357/95-79,1544890/24-9,33112665000146,DFL INDÚSTRIA E COMÉRCIO S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,68,102,2024-11-08T20:34:32Z,2025-01-06T12:07:30Z,74,Aguardando análise
29,2024-11-11T13:54:44Z,1548738247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.404111/2024-18,1548738/24-7,25101992000174,UGHC BRASIL IMPORTADORA LTDA - EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,103,2024-11-11T13:54:44Z,2025-01-06T12:07:30Z,74,Aguardando análise
30,2024-11-11T14:08:24Z,1548937240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.404044/2024-31,1548937/24-0,25101992000174,UGHC BRASIL IMPORTADORA LTDA - EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,104,2024-11-11T14:08:24Z,2025-01-06T12:07:30Z,74,Aguardando análise
31,2024-11-11T14:23:03Z,1549024248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.040960/2022-77,1549024/24-8,40819062000144,ORTHOSERV COMÉRCIO E SERVIÇOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,105,2024-11-11T14:23:03Z,2025-01-06T12:07:30Z,74,Aguardando análise
32,2024-11-11T14:36:02Z,1549132245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.608911/2014-81,1549132/24-5,01380483000160,ODONTO MEGA IMPORT COM. DE PRODUTOS ODONTOLÓGICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,106,2024-11-11T14:36:02Z,2025-01-06T12:07:30Z,74,Aguardando análise
33,2024-11-11T15:27:02Z,1549467247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.768310/2018-11,1549467/24-7,20137275000189,VOLMED BRASIL EQUIPAMENTOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,107,2024-11-11T15:27:02Z,2025-01-06T12:07:30Z,74,Aguardando análise
34,2024-11-11T16:43:01Z,1549758241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.354964/2024-00,1549758/24-1,93896397001447,MERCUR S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,108,2024-11-11T16:43:01Z,2025-01-06T12:07:30Z,74,Aguardando análise
35,2024-11-11T17:36:04Z,1550173243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.448842/2020-41,1550173/24-3,14336329000132,SOL-MILLENNIUM BRASIL IMPORTACAO E EXPORTACAO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,109,2024-11-11T17:36:04Z,2025-01-06T12:07:30Z,74,Aguardando análise
36,2024-11-11T17:51:16Z,1550280244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.448845/2020-85,1550280/24-4,14336329000132,SOL-MILLENNIUM BRASIL IMPORTACAO E EXPORTACAO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,110,2024-11-11T17:51:16Z,2025-01-06T12:07:30Z,74,Aguardando análise
37,2024-11-11T18:13:13Z,1550438247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.673061/2021-74,1550438/24-7,00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,111,2024-11-11T18:13:13Z,2025-01-06T12:07:30Z,74,Aguardando análise
38,2024-11-11T18:18:12Z,1550462245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.156365/2016-03,1550462/24-5,04998723000182,COOPERVISION DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,112,2024-11-11T18:18:12Z,2025-01-06T12:07:30Z,74,Aguardando análise
39,2024-11-11T18:40:23Z,1550659243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.384365/2010-59,1550659/24-3,78742491000133,JOÃOMED COMÉRCIO DE MATERIAIS CIRÚRGICOS S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,113,2024-11-11T18:40:23Z,2025-01-06T12:07:30Z,74,Aguardando análise
40,2024-11-11T20:05:01Z,1551354241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.721472/2023-45,1551354/24-1,09058456000187,MINDRAY DO BRASIL - COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS MEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,114,2024-11-11T20:05:01Z,2025-01-06T12:07:30Z,74,Aguardando análise
41,2024-11-11T20:11:45Z,1551387247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.325931/2016-81,1551387/24-7,02551718000100,EMFILS - INDUSTRIA E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,115,2024-11-11T20:11:45Z,2025-01-06T12:07:30Z,74,Aguardando análise
42,2024-11-11T21:25:44Z,1551787245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.579957/2023-20,1551787/24-5,44253776000199,CBS MEDICAL IMPORTAÇÃO E EXPORTAÇÃO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,116,2024-11-11T21:25:44Z,2025-01-06T12:07:30Z,74,Aguardando análise
43,2024-11-12T11:48:06Z,1553808240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.542191/2014-32,1553808/24-0,02794555000340,COLOPLAST DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,117,2024-11-12T11:48:06Z,2025-01-06T12:07:30Z,74,Aguardando análise
44,2024-11-12T11:54:19Z,1553850246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.241243/2010-14,1553850/24-6,01101363000186,DENTALVILLE DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,65,118,2024-11-12T11:54:19Z,2025-01-06T12:07:30Z,74,Aguardando análise
45,2024-11-12T12:18:50Z,1553950241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.694108/2020-52,1553950/24-1,00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,119,2024-11-12T12:18:50Z,2025-01-06T12:07:30Z,74,Aguardando análise
46,2024-11-12T13:05:47Z,1555506241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.824404/2016-76,1555506/24-1,25940099000132,MX3 GROUP LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,120,2024-11-12T13:05:47Z,2025-01-06T12:07:30Z,74,Aguardando análise
47,2024-11-12T13:54:59Z,1555813241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.176701/2002-30,1555813/24-1,42463513000189,OTTO BOCK DO BRASIL TECNICA ORTOPEDICA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,121,2024-11-12T13:54:59Z,2025-01-06T12:07:30Z,74,Aguardando análise
48,2024-11-12T14:21:55Z,1556141246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.970300/2016-99,1556141/24-6,01380483000160,ODONTO MEGA IMPORT COM. DE PRODUTOS ODONTOLÓGICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,122,2024-11-12T14:21:55Z,2025-01-06T12:07:30Z,74,Aguardando análise
49,2024-11-12T16:29:59Z,1556765240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.220981/2021-93,1556765/24-0,61086336000103,PHILIPS DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,123,2024-11-12T16:29:59Z,2025-01-06T12:07:30Z,74,Aguardando análise
50,2024-11-12T16:34:08Z,1556780249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.028679/2022-66,1556780/24-9,02794555000340,COLOPLAST DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,124,2024-11-12T16:34:08Z,2025-01-06T12:07:30Z,74,Aguardando análise
51,2024-11-12T16:34:27Z,1556782241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.400592/2021-40,1556782/24-1,61086336000103,PHILIPS DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,125,2024-11-12T16:34:27Z,2025-01-06T12:07:30Z,74,Aguardando análise
52,2024-11-12T17:32:04Z,1557329249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.258608/2006-76,1557329/24-9,81591786000160,TDV DENTAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,126,2024-11-12T17:32:04Z,2025-01-06T12:07:30Z,74,Aguardando análise
53,2024-11-12T17:38:35Z,1557366241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.432808/2016-04,1557366/24-1,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,127,2024-11-12T17:38:35Z,2025-01-06T12:07:30Z,74,Aguardando análise
54,2024-11-12T17:47:08Z,1557454248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.333536/2013-89,1557454/24-8,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,128,2024-11-12T17:47:08Z,2025-01-06T12:07:30Z,74,Aguardando análise
55,2024-11-12T17:48:43Z,1557478244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.374285/2018-09,1557478/24-4,06143957000173,GADALI MEDICAL COMÉRCIO DE PRODUTOS MÉDICO-HOSPITALAR LTDA. ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,129,2024-11-12T17:48:43Z,2025-01-06T12:07:30Z,74,Aguardando análise
56,2024-11-12T18:00:37Z,1557527245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.091326/2024-64,1557527/24-5,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,130,2024-11-12T18:00:37Z,2025-01-06T12:07:30Z,74,Aguardando análise
57,2024-11-12T18:07:38Z,1557580243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.328450/2014-18,1557580/24-3,54858014000170,ESSITY SOLUCOES MEDICAS DO BRASIL COMERCIO E DISTRIBUICAO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,131,2024-11-12T18:07:38Z,2025-01-06T12:07:30Z,74,Aguardando análise
58,2024-11-12T18:26:52Z,1557737240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.333368/2020-54,1557737/24-0,08599380000134,ALG BRASIL INDÚSTRIA DE EQUIPAMENTOS ELETRÔNICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,132,2024-11-12T18:26:52Z,2025-01-06T12:07:30Z,74,Aguardando análise
59,2024-11-12T18:44:46Z,1557922241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.316773/2020-16,1557922/24-1,08599380000134,ALG BRASIL INDÚSTRIA DE EQUIPAMENTOS ELETRÔNICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,133,2024-11-12T18:44:46Z,2025-01-06T12:07:30Z,74,Aguardando análise
60,2024-11-12T19:04:18Z,1558132244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.198662/2023-56,1558132/24-4,37914784000173,SMITH KLIMB COMÉRCIO IMPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,134,2024-11-12T19:04:18Z,2025-01-06T12:07:30Z,74,Aguardando análise
61,2024-11-12T19:09:33Z,1558177248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.413522/2018-56,1558177/24-8,06143957000173,GADALI MEDICAL COMÉRCIO DE PRODUTOS MÉDICO-HOSPITALAR LTDA. ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,135,2024-11-12T19:09:33Z,2025-01-06T12:07:30Z,74,Aguardando análise
62,2024-11-12T19:29:04Z,1558384243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.380639/2018-46,1558384/24-3,06143957000173,GADALI MEDICAL COMÉRCIO DE PRODUTOS MÉDICO-HOSPITALAR LTDA. ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,136,2024-11-12T19:29:04Z,2025-01-06T12:07:30Z,74,Aguardando análise
63,2024-11-12T21:46:39Z,1559069244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.570275/2015-53,1559069/24-4,25940099000132,MX3 GROUP LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,137,2024-11-12T21:46:39Z,2025-01-06T12:07:30Z,74,Aguardando análise
64,2024-11-13T11:05:23Z,1560185244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.414142/2024-87,1560185/24-4,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,64,138,2024-11-13T11:05:23Z,2025-01-06T12:07:30Z,74,Aguardando análise
65,2024-11-13T12:45:26Z,1560611243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.567929/2016-01,1560611/24-3,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63,139,2024-11-13T12:45:26Z,2025-01-06T12:07:30Z,74,Aguardando análise
66,2024-11-13T13:10:57Z,1562150243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.478063/2015-80,1562150/24-3,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63,140,2024-11-13T13:10:57Z,2025-01-06T12:07:30Z,74,Aguardando análise
67,2024-11-13T18:43:50Z,1564362248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.546939/2022-81,1564362/24-8,42649953000125,SDI HOLDINGS PTY LTD DO BRASIL,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63,141,2024-11-13T18:43:50Z,2025-01-06T12:07:30Z,74,Aguardando análise
