ordem_analise,data_entrada,expediente_numero,codigo_assunto,descricao_assunto,processo_numero,data_atualizacao,processo_texto,expediente_texto,cnpj_numero,razao_social,assunto_numero,assunto_texto,situacao,dias_analise
30,2024-11-01T13:58:29Z,1506486240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351053753200312,2025-01-02T14:35:21Z,25351.053753/2003-10,1506486/24-0,31673254000102,LABORATORIOS B BRAUN SA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
31,2024-11-01T14:17:51Z,1506666248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351076074201664,2025-01-02T14:35:21Z,25351.076074/2016-63,1506666/24-8,42463513000189,OTTO BOCK DO BRASIL TECNICA ORTOPEDICA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
32,2024-11-01T14:21:02Z,1506676243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351577685201208,2025-01-02T14:35:21Z,25351.577685/2012-10,1506676/24-3,56216781000100,PRODUTOS ORTOPÉDICOS CHANTAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
33,2024-11-01T14:56:27Z,1507056249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351020838201808,2025-01-02T14:35:21Z,25351.020838/2018-06,1507056/24-9,22575103000112,"6B INVENT GERMANY INOX CE - BRASIL, IMPORTAÇÃO E EXPORTAÇÃO - LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
34,2024-11-01T15:17:15Z,1507196245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351325530201928,2025-01-02T14:35:21Z,25351.325530/2019-27,1507196/24-5,09557129000170,ORTOMEDICAL COMERCIO ATACADISTA DE MATERIAIS MEDICOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
35,2024-11-01T15:45:03Z,1507329245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351217088201488,2025-01-02T14:35:21Z,25351.217088/2014-88,1507329/24-5,08319244000143,INN-FORMA MODELADORES CIRURGICOS E ESTETICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
36,2024-11-01T16:54:38Z,1507590245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351234570202e3,2025-01-02T14:35:21Z,25351.234570/2020-02,1507590/24-5,45985371000108,3M DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
37,2024-11-01T17:52:26Z,1507963246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351560145202068,2025-01-02T14:35:21Z,25351.560145/2020-68,1507963/24-6,15524734000147,TECHIMPORT TECNOLOGIA EM IMPLANTES ORTOPEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
38,2024-11-01T18:05:24Z,1508085242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351376460202432,2025-01-02T14:35:21Z,25351.376460/2024-32,1508085/24-2,02193012000105,VENOSAN BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
39,2024-11-01T18:23:50Z,1508287244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351132953202112,2025-01-02T14:35:21Z,25351.132953/2021-10,1508287/24-4,61485900000160,SG TECNOLOGIA CLÍNICA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
40,2024-11-01T19:06:18Z,1508594244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351114933202416,2025-01-02T14:35:21Z,25351.114933/2024-18,1508594/24-4,31047312000184,RENOVA MEDICAL INDÚSTRIA E COMÉRCIO DE PRODUTOS MÉDICOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
41,2024-11-01T20:43:56Z,1509411241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351405876202392,2025-01-02T14:35:21Z,25351.405876/2023-94,1509411/24-1,23378089000120,CML - CENTRO MEDICO LOGISTICO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
42,2024-11-01T20:51:07Z,1509432248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351406256202372,2025-01-02T14:35:21Z,25351.406256/2023-72,1509432/24-8,23378089000120,CML - CENTRO MEDICO LOGISTICO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
43,2024-11-01T20:59:06Z,1509442243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351412618202364,2025-01-02T14:35:21Z,25351.412618/2023-64,1509442/24-3,23378089000120,CML - CENTRO MEDICO LOGISTICO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
44,2024-11-01T21:10:31Z,1509522247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351412700202400,2025-01-02T14:35:21Z,25351.412700/2023-99,1509522/24-7,23378089000120,CML - CENTRO MEDICO LOGISTICO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,61
45,2024-11-04T11:15:56Z,1512250244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351220206202480,2025-01-02T14:35:21Z,25351.220206/2024-81,1512250/24-4,93896397001447,MERCUR S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,59
46,2024-11-04T13:10:16Z,1514087243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351212034202472,2025-01-02T14:35:21Z,25351.212034/2024-71,1514087/24-3,18920484000152,TECNOCIRURGICA COMERCIO DE MATERIAIS MEDICOS CIRURGICOS E HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,59
47,2024-11-04T13:33:37Z,1514213249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351689713201096,2025-01-02T14:35:21Z,25351.689713/2010-94,1514213/24-9,82641325000118,CREMER S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,59
48,2024-11-04T13:43:56Z,1514177242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351393831201984,2025-01-02T14:35:21Z,25351.393831/2019-83,1514177/24-2,82641325000118,CREMER S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,59
49,2024-11-04T13:58:39Z,1514372240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351394914202456,2025-01-02T14:35:21Z,25351.394914/2024-57,1514372/24-0,18920484000152,TECNOCIRURGICA COMERCIO DE MATERIAIS MEDICOS CIRURGICOS E HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,59
50,2024-11-04T14:06:20Z,1514477246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351423533202492,2025-01-02T14:35:21Z,25351.423533/2024-92,1514477/24-6,33250713000162,H STRATTNER E CIA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,59
51,2024-11-04T15:33:25Z,1515028241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351363028202480,2025-01-02T14:35:21Z,25351.363028/2024-81,1515028/24-1,33250713000162,H STRATTNER E CIA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
52,2024-11-04T16:22:26Z,1515214249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351414039202436,2025-01-02T14:35:21Z,25351.414039/2024-37,1515214/24-9,27242576000111,CEDRS - GESTAO EMPRESARIAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
53,2024-11-04T17:05:59Z,1515505243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351170997202068,2025-01-02T14:35:21Z,25351.170997/2020-67,1515505/24-3,03960018000123,DSP INDUSTRIAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
54,2024-11-04T17:07:45Z,1515526241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351066249201512,2025-01-02T14:35:21Z,25351.066249/2015-11,1515526/24-1,12520258000106,CONCEPT USINAGENS ESPECIAIS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
55,2024-11-04T17:41:08Z,1515791246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351658854202080,2025-01-02T14:35:21Z,25351.658854/2020-82,1515791/24-6,09123223000110,TRAUMEC TECNOLOGIA E IMPLANTES ORTOPEDICOS IMPORTACAO E EXPORTACAO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
56,2024-11-04T19:46:35Z,1517144248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351048194202452,2025-01-02T14:35:21Z,25351.048194/2024-51,1517144/24-8,21236000000165,BK ACUPUNTURA & SAUDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
57,2024-11-04T20:02:36Z,1517263247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351034815202336,2025-01-02T14:35:21Z,25351.034815/2023-38,1517263/24-7,00097446000186,Bio Engenharia e Indústria de Implantes Ortopédicos Ltda,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
58,2024-11-05T12:11:09Z,1519535244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351241659201192,2025-01-02T14:35:21Z,25351.241659/2011-91,1519535/24-4,58188194000180,"GN INJECTA INDUSTRIA, COMERCIO DE MATERIAIS MEDICOS, CIRURGICOS, ODONTOLOGICOS E DESCARTAVEIS LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
59,2024-11-05T12:12:53Z,1519545240,80256,MATERIAL – Alteração de notificação – Implementação imediata,253510268800013,2025-01-02T14:35:21Z,25351.026880/00-13,1519545/24-0,31157910000106,BIOCARDIO COMERCIO E REPRESENTACOES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
60,2024-11-05T12:17:47Z,1519554249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351389056202428,2025-01-02T14:35:21Z,25351.389056/2024-29,1519554/24-9,33425331000122,VIGODENT INDUSTRIA E COMERCIO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
61,2024-11-05T12:32:22Z,1519622244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351130930200632,2025-01-02T14:35:21Z,25351.130930/2006-31,1519622/24-4,50328590000154,UNITEC INDUSTRIA E COMERCIO DE APARELHOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
62,2024-11-05T14:16:52Z,1521833249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351101366200568,2025-01-02T14:35:21Z,25351.101366/2005-69,1521833/24-9,81591786000160,TDV DENTAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,58
63,2024-11-05T18:02:36Z,1523150246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351293645202412,2025-01-02T14:35:21Z,25351.293645/2024-11,1523150/24-6,14336329000132,SOL-MILLENNIUM BRASIL IMPORTACAO E EXPORTACAO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
64,2024-11-05T18:11:34Z,1523196246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351218415202112,2025-01-02T14:35:21Z,25351.218415/2021-11,1523196/24-6,26443446000184,HEALTH CARE SOLUTIONS INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
65,2024-11-05T18:22:56Z,1523357240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351106924202444,2025-01-02T14:35:21Z,25351.106924/2024-45,1523357/24-0,26443446000184,HEALTH CARE SOLUTIONS INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
66,2024-11-05T18:55:34Z,1523696249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351354996202404,2025-01-02T14:35:21Z,25351.354996/2024-05,1523696/24-9,07740586000170,ORTHOMETRIC - INDÚSTRIA E COMÉRCIO DE PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
67,2024-11-05T19:12:49Z,1523902248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351376408202488,2025-01-02T14:35:21Z,25351.376408/2024-86,1523902/24-8,07740586000170,ORTHOMETRIC - INDÚSTRIA E COMÉRCIO DE PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
68,2024-11-05T19:26:40Z,1523991241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351101544201700,2025-01-02T14:35:21Z,25351.101544/2017-00,1523991/24-1,60856937000195,ORTOCIR ORTOPEDIA CIRURGIA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
69,2024-11-05T19:37:03Z,1524100242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351721479202368,2025-01-02T14:35:21Z,25351.721479/2023-67,1524100/24-2,09058456000187,MINDRAY DO BRASIL - COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS MEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
70,2024-11-05T20:04:09Z,1524407241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351721511202312,2025-01-02T14:35:21Z,25351.721511/2023-12,1524407/24-1,09058456000187,MINDRAY DO BRASIL - COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS MEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
71,2024-11-05T21:30:34Z,1524969249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351497564201600,2025-01-02T14:35:21Z,25351.497564/2016-02,1524969/24-9,08474646000112,FORTECARE INDÚSTRIA DE PRODUTOS MÉDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
72,2024-11-05T23:14:26Z,1525289241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351407653202440,2025-01-02T14:35:21Z,25351.407653/2024-42,1525289/24-1,43728100000141,BC MED HOSPITALAR LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
73,2024-11-06T00:19:48Z,1525415247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351379534202492,2025-01-02T14:35:21Z,25351.379534/2024-92,1525415/24-7,14336329000132,SOL-MILLENNIUM BRASIL IMPORTACAO E EXPORTACAO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
74,2024-11-06T12:09:54Z,1526616246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351322836202144,2025-01-02T14:35:21Z,25351.322836/2021-46,1526616/24-6,58528639000124,TECNIDENT EQUIPAMENTOS ORTODONTICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
75,2024-11-06T12:22:08Z,1526666243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351418464202232,2025-01-02T14:35:21Z,25351.418464/2022-33,1526666/24-3,09117476000181,MANDALA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTO MEDICO HOSPITALAR LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
76,2024-11-06T13:15:42Z,1528601246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351345433201736,2025-01-02T14:35:21Z,25351.345433/2017-34,1528601/24-6,04682046000199,IMPLANEW MATERIAIS ODONTOLOGICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
77,2024-11-06T13:15:51Z,1528602242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351474324201404,2025-01-02T14:35:21Z,25351.474324/2014-04,1528602/24-2,56998701000116,ABBOTT LABORATORIOS DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
78,2024-11-06T13:35:13Z,1528717244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351648017201820,2025-01-02T14:35:21Z,25351.648017/2018-21,1528717/24-4,11496097000191,GLADIUS IMPORTAÇÃO E EXPORTAÇÃO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
79,2024-11-06T13:42:35Z,1528756240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351661904201896,2025-01-02T14:35:21Z,25351.661904/2018-94,1528756/24-0,11496097000191,GLADIUS IMPORTAÇÃO E EXPORTAÇÃO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
80,2024-11-06T14:05:33Z,1529102243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351843211202384,2025-01-02T14:35:21Z,25351.843211/2023-85,1529102/24-3,09557129000170,ORTOMEDICAL COMERCIO ATACADISTA DE MATERIAIS MEDICOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,57
